HSCode,Commodity,value,country,year
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",18.82,U S A,2010
96,MISCELLANEOUS MANUFACTURED ARTICLES.,26.89,U S A,2010
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,16.72,U S A,2010
98,PROJECT GOODS; SOME SPECIAL USES.,368.49,U S A,2010
99,MISCELLANEOUS GOODS.,1626.08,U S A,2010
1,LIVE ANIMALS.,2.52,U S A,2011
2,MEAT AND EDIBLE MEAT OFFAL.,0.01,U S A,2011
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.17,U S A,2011
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",4.17,U S A,2011
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",4.42,U S A,2011
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.31,U S A,2011
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,60.79,U S A,2011
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,402.83,U S A,2011
9,"COFFEE, TEA, MATE AND SPICES.",1.8,U S A,2011
10,CEREALS.,0.08,U S A,2011
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.82,U S A,2011
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.32,U S A,2011
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",11.92,U S A,2011
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.02,U S A,2011
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,2.51,U S A,2011
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.52,U S A,2011
17,SUGARS AND SUGAR CONFECTIONERY.,16.85,U S A,2011
18,COCOA AND COCOA PREPARATIONS.,1.23,U S A,2011
